section,question,answer,source_passage,question_type,difficulty,verified,verification_reason
Item 16. (Part 1),Which specific social media platforms does NVIDIA use to comply with Regulation FD?,"NVIDIA uses its X Account, Corporate Blog, Facebook Page, LinkedIn Page, and Instagram Page.",We also use the following social media channels as a means of disclosing information about the company... and for complying with our disclosure obligations under Regulation FD: NVIDIA X Account (https://twitter.com/nvidia) NVIDIA Corporate Blog (http://blogs.nvidia.com) NVIDIA Facebook Page (https://www.facebook.com/nvidia) NVIDIA LinkedIn Page (http://www.linkedin.com/company/nvidia) NVIDIA Instagram Page (https://www.instagram.com/instagram.com/nvidia),fact extraction,easy,True,"The passage explicitly lists the X Account, Corporate Blog, Facebook Page, LinkedIn Page, and Instagram Page as the channels used for disclosing information and complying with Regulation FD."
Item 16. (Part 1),Are the disclosures made on NVIDIA's social media channels considered a formal part of the Annual Report on Form 10-K?,"No, the information posted through these channels is not a part of the Annual Report on Form 10-K.",The information we post through these channels is not a part of this Annual Report on Form 10-K.,fact extraction,easy,True,"The answer directly reflects the statement in the passage, which explicitly declares that information posted through those channels is not part of the Annual Report on Form 10-K."
Item 16. (Part 1),"Comparing the sources of financial announcements, which channels does NVIDIA explicitly state should be monitored by investors in addition to SEC filings?",Investors should monitor the social media accounts and the corporate blog in addition to press releases and public conference calls and webcasts.,"Accordingly, investors should monitor these accounts and the blog, in addition to following our press releases, SEC filings and public conference calls and webcasts.",comparison,medium,True,"The answer accurately reflects the instructions given in the passage, identifying the blog and accounts as additional channels to monitor alongside the ones explicitly listed in the text."
Item 1. (Part 1),What are the two primary business segments reported by NVIDIA?,Compute & Networking and Graphics,We report our business results in two segments. The Compute & Networking segment is comprised of our Data Center accelerated computing platforms... The Graphics segment includes GeForce GPUs for gaming and PCs...,fact extraction,easy,True,"The passage explicitly states that business results are reported in two segments, identified as Compute & Networking and Graphics."
Item 1. (Part 1),In what year was NVIDIA originally incorporated in California?,1993,"Headquartered in Santa Clara, California, NVIDIA was incorporated in California in April 1993 and reincorporated in Delaware in April 1998.",fact extraction,easy,True,The passage explicitly states that NVIDIA was incorporated in California in April 1993.
Item 1. (Part 1),Does the Compute & Networking segment or the Graphics segment include the Omniverse Enterprise software platform?,The Graphics segment,The Graphics segment includes... and Omniverse Enterprise software for building and operating metaverse and 3D internet applications.,comparison,medium,True,The passage explicitly states that the Graphics segment includes Omniverse Enterprise software.
Item 1. (Part 2),What are the three major processing units used in the company's AI servers?,"GPUs, CPUs, and DPUs.","Our compute solutions include all three major processing units in AI servers – GPUs, CPUs, and DPUs.",fact extraction,easy,True,"The answer directly reflects the information provided in the passage, which explicitly lists GPUs, CPUs, and DPUs as the three major processing units in the company's AI servers."
Item 1. (Part 2),What is the primary manufacturing strategy employed by NVIDIA?,A fabless and contracting manufacturing strategy.,"We utilize a fabless and contracting manufacturing strategy, whereby we employ and partner with key suppliers for all phases of the manufacturing process.",fact extraction,easy,True,"The passage explicitly states that a fabless and contracting manufacturing strategy is utilized, which directly supports the answer."
Item 1. (Part 2),"If NVIDIA identifies over 4.7 million developers globally, and the Inception program reaches 'hundreds' of universities and 'thousands' of startups, roughly how many times larger is the total developer base compared to the number of startups in the Inception program if we assume 5,000 startups?",940 times larger.,There are over 4.7 million developers worldwide using CUDA... We evangelize AI through partnerships with hundreds of universities and thousands of startups through our Inception program.,numeric calculation,medium,True,"The passage confirms over 4.7 million developers. Assuming 5,000 startups as stated in the question, the calculation 4,700,000 / 5,000 = 940 is mathematically correct and supported by the provided data."
Item 1. (Part 2),"Which of the following does the text identify as having seasonal revenue patterns: Data Center, Gaming, or Automotive?",Gaming.,"Our computing platforms serve a diverse set of markets such as data centers, gaming, professional visualization, and automotive. Our desktop gaming products typically see stronger revenue in the second half of our fiscal year.",comparison,medium,True,"The passage explicitly states that desktop gaming products typically see stronger revenue in the second half of the fiscal year, confirming a seasonal pattern for Gaming."
Item 1. (Part 3),What is the primary range of expiration dates for the company's currently issued patents?,February 2024 to August 2043,Our currently issued patents have expiration dates from February 2024 to August 2043.,fact extraction,easy,True,The answer directly reflects the expiration date range provided in the passage.
Item 1. (Part 3),"How many employees were engaged in research and development compared to sales, marketing, operations, and administrative roles as of the end of fiscal year 2024?","22,200 in research and development versus 7,400 in sales, marketing, operations, and administrative positions.","As of the end of fiscal year 2024, we had approximately 29,600 employees in 36 countries, 22,200 were engaged in research and development and 7,400 were engaged in sales, marketing, operations, and administrative positions.",fact extraction,easy,True,The answer accurately states the numbers provided in the passage for both categories of employees as of the end of fiscal year 2024.
Item 1. (Part 3),"If the company matched 44% of its electricity use with renewable energy in fiscal year 2023, and it aims for 100% by the end of fiscal year 2025, what is the required percentage point increase to reach this goal?",56 percentage points,"By the end of fiscal year 2025, our goal is to purchase or generate enough renewable energy to match 100% of our global electricity usage for our offices and data centers. In fiscal year 2023, we increased the percentage of our total electricity use matched by renewable energy purchases to 44%.",numeric calculation,medium,True,The calculation (100% - 44% = 56%) is mathematically correct based on the figures provided in the passage.
Item 1. (Part 4),"Which executive officer is the oldest according to the information provided as of February 16, 2024?",Ajay K. Puri and Debora Shoquist (both are 69 years old).,"Ajay K. Puri 69 Executive Vice President, Worldwide Field Operations; Debora Shoquist 69 Executive Vice President, Operations",fact extraction,medium,True,"The passage states both Ajay K. Puri and Debora Shoquist are 69 years old, which directly supports the answer that they are both the oldest executive officers listed."
Item 1. (Part 4),"Based on the gender distribution of the global workforce, what is the combined percentage of employees that are either male or female?",99%,"As of the end of fiscal year 2024, our global workforce was 79% male, 20% female, and 1% not declared",numeric calculation,easy,True,The passage states that the workforce is 79% male and 20% female; the sum of 79% and 20% is 99%.
